  1  1  13.217 -12.553
  1  4  13.392 -13.623
  1  3  12.346 -13.742
  2  3  11.306 -13.830
  3  4  11.268 -13.529
  3  3  10.234 -13.629
  7  4  10.135 -12.777
  7  3   9.109 -12.870
 17  4   8.996 -11.749
 17  3   7.978 -11.834
 17  2   7.867 -10.791
 29  3   7.243 -10.838
  0  0   7.200 -10.479
 31  3   6.407 -10.479
 35  4   3.889 -10.517
 34  4   4.768 -10.515
 19  1   3.892 -10.520
 19  4   3.937 -11.557
  9  1   3.407 -11.557
  9  4   3.445 -12.600
 10  4   2.457 -12.607
 11  4   1.468 -12.605
 11  3   0.462 -12.615
 11  2   0.453 -11.573
 22  3   0.008 -11.572
 22  2   0.005 -10.537
 40  3  -1.045 -10.539
 39  3  -2.049 -10.523
 38  3  -3.053 -10.497
 41  3  -4.059 -10.459
  0  0  -4.060  -9.523
 55  3  -4.187  -9.523
 54  3  -5.196  -9.483
  0  0  -5.200  -8.481
 74  3  -5.345  -8.481
 72  4  -5.342  -8.536
 72  3  -6.342  -8.476
 72  2  -6.264  -7.453
 92  3  -6.509  -7.420
 95  4  -6.521  -7.385
 95  3  -7.522  -7.308
 95  2  -7.425  -6.292
114  3  -7.694  -6.326
112  4  -7.713  -6.389
112  3  -8.715  -6.296
  0  0  -8.700  -5.338
133  3  -8.882  -5.338
  0  0  -8.800  -4.395
154  3  -8.999  -4.395
151  4  -9.001  -4.499
151  3 -10.004  -4.382
151  2  -9.868  -3.373
172  3 -10.153  -3.375
172  2 -10.010  -2.369
192  3 -10.308  -2.365
192  2 -10.161  -1.361
215  3 -10.463  -1.357
215  2 -10.312  -0.354
238  3 -10.897  -0.265
238  2 -10.736   0.738
259  3 -10.850   0.744
259  2 -10.688   1.746
281  3 -10.151   1.645
281  2  -9.998   2.648
302  3 -10.087   2.681
302  2  -9.932   3.684
323  3  -9.996   3.675
323  2  -9.835   4.684
  0  0  -8.900   4.550
345  3  -8.941   4.650
345  2  -8.803   5.658
363  3  -8.856   5.655
363  2  -8.713   6.665
  0  0  -7.803   6.511
384  3  -7.806   6.629
384  2  -7.679   7.641
  0  0  -6.770   7.501
385  2  -6.769   7.624
  0  0  -5.858   7.502
387  2  -5.858   7.607
399  3  -4.951   7.595
399  2  -4.870   8.612
404  3  -4.104   8.551
404  2  -4.036   9.573
405  2  -3.103   9.543
406  2  -2.141   9.503
406  1  -1.144   9.467
  0  0  -1.144   9.000
403  1  -0.255   9.042
403  4  -0.275   8.022
397  1   0.650   8.020
  0  0   0.650   7.817
396  1   1.512   7.835
  0  0   1.512   7.423
393  1   2.451   7.460
392  1   3.380   7.510
391  1   4.311   7.567
388  1   5.227   7.590
386  1   6.146   7.606
  0  0   6.150   7.400
383  1   7.021   7.526
  0  0   7.050   7.400
380  1   7.939   7.521
380  4   8.066   6.509
362  4   8.193   5.498
  0  0   8.193   5.366
342  1   9.076   5.520
342  4   9.215   4.513
321  1   9.936   4.629
321  4  10.087   3.624
300  1   9.947   3.614
300  4  10.096   2.610
280  1  10.027   2.613
280  4  10.174   1.610
258  1  10.103   1.614
258  4  10.249   0.611
236  1  10.223   0.620
236  4  10.369  -0.383
213  1  10.294  -0.392
213  4  10.438  -1.397
191  1  10.391  -1.403
191  4  10.535  -2.409
170  1  10.498  -2.416
170  4  10.642  -3.424
  0  0  10.570  -3.424
149  4  10.716  -4.340
129  4  10.867  -5.355
  0  0  10.950  -5.852
 98  1  11.831  -5.714
 87  2  11.900  -6.352
 87  1  12.920  -6.203
 87  4  13.097  -7.229
 65  1  13.803  -7.146
 65  4  13.992  -8.179
 44  1  13.859  -8.181
 44  4  14.047  -9.221
 23  1  14.685  -9.148
 23  4  14.884 -10.196
 12  1  14.888 -10.198
 12  4  15.089 -11.255
 12  3  14.043 -11.402
  6  4  14.240 -12.388
  1  1  13.217 -12.553
