1,25.46,24.57
2,26.07,24.70
3,26.10,24.68
4,25.97,24.96
5,25.89,24.72
6,26.46,24.74
7,26.10,24.55
8,26.06,24.99
9,26.04,24.98
10,26.19,24.80
11,26.18,24.78
12,26.12,24.90
13,26.07,24.46
14,25.82,24.56
15,26.34,24.83
16,26.19,24.95
17,25.92,24.95
18,26.07,25.00
19,26.19,24.74
20,26.01,24.83
21,26.17,24.96
22,26.08,24.76
23,26.03,24.86
24,26.03,24.85
25,25.93,24.84
26,26.00,25.00
27,25.96,24.89
28,26.12,24.94
29,25.89,24.85
30,26.46,24.98
31,25.96,24.78
32,26.16,24.84
33,25.96,24.71
34,26.01,24.65
35,26.03,24.84
36,25.41,24.66
37,26.01,24.85
38,26.04,24.85
39,26.13,24.81
40,25.98,24.91
41,26.13,24.73
42,25.81,24.72
43,25.16,24.30
44,25.87,24.81
45,26.07,25.02
46,26.11,24.94
47,25.89,24.83
48,26.11,25.00
49,25.95,24.83
50,25.95,24.85
51,26.11,24.81
52,26.18,24.73
53,26.03,24.69
54,26.14,25.01
55,25.99,24.62
56,26.00,24.85
57,26.03,24.75
58,26.25,24.99
59,26.00,24.54
60,25.91,24.83
61,25.82,24.50
62,25.87,24.60
63,25.79,24.57
64,26.10,24.89
65,26.00,25.02
66,26.05,25.14
67,25.89,25.00
68,25.98,24.84
69,26.19,24.94
70,26.11,25.06
71,25.39,24.75
72,25.91,24.72
73,26.02,24.81
74,25.86,24.74
75,26.12,24.76
76,25.55,24.84
77,26.01,24.79
78,26.11,24.76
79,26.08,24.75
80,26.06,24.87
81,26.16,24.74
82,25.71,24.84
83,26.04,24.90
84,26.24,24.92
85,26.04,24.85
86,26.07,24.83
87,25.94,24.59
88,25.95,25.02
89,25.54,24.81
90,25.85,24.80
91,25.91,24.83
92,25.87,24.83
93,25.91,24.84
94,25.93,24.85
95,25.96,24.80
96,25.85,24.77
97,26.21,24.99
98,25.78,24.77
99,25.89,24.67
100,26.01,25.09
101,25.89,24.70
102,26.06,24.87
103,25.90,24.57
104,26.06,24.96
105,26.22,24.76
106,26.31,25.10
107,25.67,24.65
108,25.50,24.95
109,25.88,24.66
110,26.28,24.79
111,26.12,24.95
112,26.24,24.75
113,26.00,24.90
114,26.21,24.67
115,25.98,24.58
116,25.91,24.90
117,26.05,25.25
118,26.38,24.71
119,26.09,24.78
120,25.97,24.71
121,26.61,25.44
122,26.04,24.71
123,25.99,24.53
124,26.03,24.67
125,26.03,24.53
126,26.16,24.96
127,26.06,24.59
128,25.81,24.74
129,25.88,24.75
130,25.75,25.16
131,25.92,24.79
132,26.04,24.75
133,26.05,25.14
134,26.00,25.16
135,25.84,24.67
136,26.04,24.75
137,26.09,24.82
138,26.12,25.10
139,26.28,24.92
140,26.35,24.98
141,25.87,24.62
142,26.05,24.88
143,25.87,24.55
144,26.05,24.98
145,25.88,24.64
146,25.90,24.89
147,26.49,24.99
148,26.47,25.11
149,25.82,24.80
150,25.91,24.55
151,25.95,24.22
152,26.07,24.85
153,25.76,24.66
154,26.08,24.38
155,26.33,25.16
156,26.04,24.37
157,25.97,24.58
158,25.75,24.41
159,25.93,24.61
160,26.20,24.78
161,25.19,24.20
162,26.07,24.81
163,25.77,24.59
164,26.03,24.79
165,26.02,24.69
166,25.86,24.60
167,26.15,24.52
168,25.94,24.81
169,26.11,25.11
170,26.07,24.94
171,26.05,24.95
172,25.78,24.40
173,26.06,24.87
174,25.70,24.68
175,25.88,24.79
176,25.88,24.70
177,25.77,24.81
178,25.85,24.56
179,25.66,24.47
180,25.84,24.71
181,25.91,24.71
182,25.93,24.69
183,26.13,25.03
184,26.07,24.54
185,25.99,25.01
186,26.08,24.38
187,25.93,25.03
188,26.04,24.52
189,25.35,24.63
